Q-function training is starting
[Epoch 1530/1000000] Q loss: 0.0022844169026437038, score: 0, distance survived: 65
[Epoch 1540/1000000] Q loss: 0.002633938465866626, score: 0, distance survived: 35
[Epoch 1550/1000000] Q loss: 0.002876236469856447, score: 0, distance survived: 35
[Epoch 1560/1000000] Q loss: 0.002718673600825157, score: 0, distance survived: 35
[Epoch 1570/1000000] Q loss: 0.002704334952346258, score: 0, distance survived: 35
[Epoch 1580/1000000] Q loss: 0.0030528630655860846, score: 0, distance survived: 38
[Epoch 1590/1000000] Q loss: 0.0069907048980228075, score: 0, distance survived: 35
[Epoch 1600/1000000] Q loss: 0.004469187402174912, score: 0, distance survived: 64
[Epoch 1610/1000000] Q loss: 0.003781991177860004, score: 0, distance survived: 63
[Epoch 1620/1000000] Q loss: 0.002931868668647611, score: 0, distance survived: 64
[Epoch 1630/1000000] Q loss: 0.0024755443142768932, score: 0, distance survived: 64
[Epoch 1640/1000000] Q loss: 0.0033420928592530243, score: 0, distance survived: 64
[Epoch 1650/1000000] Q loss: 0.0027846798245667807, score: 0, distance survived: 64
[Epoch 1660/1000000] Q loss: 0.003060670117487239, score: 0, distance survived: 64
[Epoch 1670/1000000] Q loss: 0.003004635222251736, score: 0, distance survived: 63
[Epoch 1680/1000000] Q loss: 0.0034918114005490423, score: 0, distance survived: 64
[Epoch 1690/1000000] Q loss: 0.0035808181333025794, score: 0, distance survived: 78
[Epoch 1700/1000000] Q loss: 0.0031928787964382124, score: 0, distance survived: 65
[Epoch 1710/1000000] Q loss: 0.0042905150173807435, score: 0, distance survived: 67
[Epoch 1720/1000000] Q loss: 0.004773725241017429, score: 0, distance survived: 65
[Epoch 1730/1000000] Q loss: 0.003260981098496797, score: 0, distance survived: 61
[Epoch 1740/1000000] Q loss: 0.004078875527172306, score: 0, distance survived: 83
[Epoch 1750/1000000] Q loss: 0.004221818328750343, score: 0, distance survived: 64
[Epoch 1760/1000000] Q loss: 0.00372351896605845, score: 0, distance survived: 80
[Epoch 1770/1000000] Q loss: 0.0022713830485608785, score: 0, distance survived: 64
[Epoch 1780/1000000] Q loss: 0.003364121614471441, score: 0, distance survived: 82
[Epoch 1790/1000000] Q loss: 0.0034863816345965114, score: 0, distance survived: 65
[Epoch 1800/1000000] Q loss: 0.0031401194890070113, score: 0, distance survived: 63
[Epoch 1810/1000000] Q loss: 0.003916876979189037, score: 0, distance survived: 35
[Epoch 1820/1000000] Q loss: 0.004964000116710802, score: 0, distance survived: 63
[Epoch 1830/1000000] Q loss: 0.004438943349716371, score: 0, distance survived: 35
[Epoch 1840/1000000] Q loss: 0.0035407067085040304, score: 0, distance survived: 67
[Epoch 1850/1000000] Q loss: 0.003393780189789163, score: 0, distance survived: 35
[Epoch 1860/1000000] Q loss: 0.003719046074094665, score: 0, distance survived: 35
[Epoch 1870/1000000] Q loss: 0.0029554470887757254, score: 0, distance survived: 67
[Epoch 1880/1000000] Q loss: 0.004343283613807155, score: 0, distance survived: 35
[Epoch 1890/1000000] Q loss: 0.003113906272262008, score: 0, distance survived: 38
[Epoch 1900/1000000] Q loss: 0.004195964484208945, score: 0, distance survived: 35
[Epoch 1910/1000000] Q loss: 0.004995853097914435, score: 0, distance survived: 82
